benchmark,Tot_q,genacq_q,avg_t,max_t,tot_t,init_bias,init_cl,learned_global_cstrs,type
4sudoku,4,0,0.1433,0.1961,0.5733,62,58,13,pl_al
4sudoku,27,13,0.0234,0.1601,0.6308,72,0,13,countcp_al_genacq
4sudoku,30,18,0.205,1.4326,6.1503,0,0,-,genacq
4sudoku,191,0,0.0689,0.7687,13.1572,62,0,13,pl_al_genacq
4sudoku,316,29,0.1646,1.8328,52.015,0,0,-,mineask
4sudoku,345,0,0.1523,1.5852,52.5507,0,0,-,al
9sudoku,17,0,1.1817,1.6333,20.0883,954,824,34,pl_al
9sudoku,47,28,0.1266,1.2519,5.9492,813,0,28,countcp_al_genacq
9sudoku,100,36,2.128,28.2727,212.8026,0,0,-,genacq
9sudoku,4691,0,0.3367,4.8892,1579.5008,954,0,34,pl_al_genacq
9sudoku,6149,757,0.3803,14.0053,2338.6206,0,0,-,mineask
9sudoku,7615,0,0.2834,15.5278,2158.2119,0,0,-,al
examtt_advanced,2283,0,0.3218,3.5774,734.7384,1319,828,16,pl_al
examtt_advanced,6295,0,0.4048,11.0013,2548.322,1319,0,16,pl_al_genacq
examtt_advanced,6510,2664,0.6964,37.6999,4533.5739,0,0,-,mineask
examtt_advanced,8939,0,0.3602,16.2034,3219.8945,0,0,-,al
examtt_simple,2739,0,0.4778,15.5677,1308.7285,1764,828,16,pl_al
examtt_simple,6787,0,0.4276,10.7075,2902.037,1764,0,16,pl_al_genacq
examtt_simple,7288,2788,0.6882,19.1437,5015.6019,0,0,-,mineask
examtt_simple,8962,0,0.386,10.158,3459.7529,0,0,-,al
greaterThansudoku_9x9_16b_diverse_custom_al,7739,0,0.3322,9.1362,2570.8151,0,0,-,al
greaterThansudoku_9x9_16b_diverse_custom_pl_al,50,0,0.053,0.4288,2.6507,19,810,27,pl_al
greaterThansudoku_9x9_16b_diverse_genacq_genacq,305,98,1.3988,56.018,426.6371,0,0,-,genacq
greaterThansudoku_9x9_16b_diverse_mineask_mineask,6297,1855,0.4701,17.7727,2960.5181,0,0,-,mineask
greaterThansudoku_9x9_16b_diverse_vgc_pl_al_genacq,3476,0,0.4184,2.4142,1454.3381,19,0,27,pl_al_genacq
greaterThansudoku_9x9_24b_diverse_custom_al,7654,0,0.3087,14.0282,2363.0302,0,0,-,al
greaterThansudoku_9x9_24b_diverse_custom_pl_al,93,0,0.4486,2.8037,41.7159,31,810,27,pl_al
greaterThansudoku_9x9_24b_diverse_genacq_genacq,401,136,1.0133,33.7874,406.3364,0,0,-,genacq
greaterThansudoku_9x9_24b_diverse_mineask_mineask,6733,1189,0.4218,11.6697,2839.7133,0,0,-,mineask
greaterThansudoku_9x9_24b_diverse_vgc_pl_al_genacq,3905,0,0.453,4.8796,1769.1351,31,0,27,pl_al_genacq
greaterThansudoku_9x9_8b_diverse_countcp_countcp_al_genacq,1146,17,0.1928,1.8693,220.9926,1021,0,18,countcp_al_genacq
greaterThansudoku_9x9_8b_diverse_custom_al,7748,0,0.2555,8.3476,1979.9794,0,0,-,al
greaterThansudoku_9x9_8b_diverse_custom_pl_al,21,0,0.1408,0.9125,2.9558,11,810,27,pl_al
greaterThansudoku_9x9_8b_diverse_genacq_genacq,238,70,2.5478,48.7351,606.3814,0,0,-,genacq
greaterThansudoku_9x9_8b_diverse_mineask_mineask,6330,1216,0.3542,6.5198,2242.0618,0,0,-,mineask
greaterThansudoku_9x9_8b_diverse_vgc_pl_al_genacq,1234,16,0.4251,6.4761,524.5267,11,0,27,pl_al_genacq
greaterThansudoku_9x9_8b_nodiverse_countcp_countcp_al_genacq,854,18,0.2065,1.9631,176.3693,841,0,18,countcp_al_genacq
greaterThansudoku_9x9_8b_nodiverse_custom_al,7633,0,0.2509,7.2705,1915.2546,0,0,-,al
greaterThansudoku_9x9_8b_nodiverse_custom_pl_al,113,0,0.655,7.9413,74.011,3883,824,34,pl_al
greaterThansudoku_9x9_8b_nodiverse_genacq_genacq,208,70,1.919,34.1059,399.1583,0,0,-,genacq
greaterThansudoku_9x9_8b_nodiverse_mineask_mineask,6332,1509,0.3244,8.3411,2053.8058,0,0,-,mineask
jsudoku,519,0,0.3979,4.7762,206.5009,1362,770,47,pl_al
jsudoku,618,47,0.5677,41.4668,350.8462,1362,0,47,pl_al_genacq
jsudoku,825,18,0.1917,1.478,158.1553,830,0,18,countcp_al_genacq
jsudoku,1446,752,0.5109,19.6591,738.7683,0,0,-,genacq
jsudoku,6330,1867,0.2808,6.1644,1777.7583,0,0,-,mineask
jsudoku,7788,0,0.2165,6.921,1686.4836,0,0,-,al
murder_problem,46,0,0.2223,1.4471,10.2265,148,43,5,pl_al
murder_problem,60,5,0.2446,2.3758,14.679,148,0,5,pl_al_genacq
murder_problem,271,11,0.1453,1.8127,39.3699,0,0,-,mineask
murder_problem,373,0,0.1367,1.5434,50.9984,0,0,-,al
nurse_rostering,37,0,0.0469,0.4563,1.7357,54,21,7,pl_al
nurse_rostering,64,7,0.1014,1.4654,6.4906,54,0,7,pl_al_genacq
nurse_rostering,183,4,0.1395,2.1612,25.5364,0,0,-,mineask
nurse_rostering,205,0,0.1463,1.3542,29.9952,0,0,-,al
sudoku_9x9_diverse_countcp_countcp_al_genacq,971,18,0.1787,1.4441,173.5572,977,0,18,countcp_al_genacq
sudoku_9x9_nodiverse_countcp_countcp_al_genacq,879,18,0.1764,1.5913,155.0702,810,0,18,countcp_al_genacq
sudoku_9x9_nodiverse_custom_al,7737,0,0.1849,4.6455,1430.1988,0,0,-,al
sudoku_9x9_nodiverse_custom_pl_al,20,0,1.6217,5.7279,32.4345,3854,840,42,pl_al
sudoku_9x9_nodiverse_genacq_genacq,101,36,2.0936,26.2378,211.451,0,0,-,genacq
sudoku_9x9_nodiverse_mineask_mineask,6267,955,0.2601,4.8771,1630.0871,0,0,-,mineask
sudoku_9x9_nodiverse_vgc_pl_al_genacq,31,42,3.4986,44.9586,108.4572,3854,0,42,pl_al_genacq
